,RELG_NOW,SPIRIT_NOW,SBS,EDAS,DAQ,LE_Sum,DASS_Sum,EX_Sum,RELBEH_Sum,LOCUS_Sum,SWLS_Sum,GOD_pSum,GOD_nSum
1,7.610281289337442,6.515896664973546,6.089853621267847,6.2797249163420785,4.409316068265878,348.70797538560555,156.8563045597519,17.206263861765663,152.05633358467233,283.65137284718696,56.62014266379362,156.2477939483041,193.37691383069006
7,5.749930555555554,5.432222222222221,4.693979552380054,6.656596739995123,4.010013580306568,236.11,176.08305555555555,16.442708333333332,105.5165972222222,248.54749999999999,70.14659722222221,144.24659722222222,224.05104166666666
2,6.500377928949358,5.380700428319477,4.946205002242831,5.914905720041239,3.7851649045236524,384.82259735169794,140.98519078413258,15.025447215923407,128.31096553847874,256.90171047843,55.892388231012575,92.77069510931946,182.3799445704208
"2,7",1.7600000000000002,0.96,4.1177777774488895,3.1816666663733333,2.797511111592889,6.8,129.2,13.84,62.239999999999995,115.44000000000001,101.84,48.56000000000001,166.96
5,8.687449610319806,8.252620263370062,7.216757741138433,5.881483472147317,5.030800561260963,548.815372211771,194.96049449072834,15.03681805966138,109.88121472722386,285.83015318462776,44.766460628863214,160.5009406073636,150.97446922870196
4,6.8214109173081,6.023444671986442,5.157188365618969,6.751783990106883,4.417537995551005,241.62417908339805,151.0177247369536,14.18473271661606,103.54989054445308,267.296518607443,48.86646423275193,132.5708636395735,175.5264458724666
3,7.8548483045806075,6.830458060678168,6.978617224977659,8.207449269600996,3.121422433637094,371.5490779298037,98.90184414039261,7.927424152290304,98.1653777513385,258.2736466389054,58.30458060678169,128.93158834027366,180.1368233194527
"1,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5,7",10.0,8.88888888888889,8.179012345999999,9.500000000364198,4.001426612153636,389.80246913580254,127.80246913580247,5.333333333333334,130.0246913580247,407.8765432098765,84.0,74.76543209876543,170.69135802469134
"1,3",0.25,0.25,1.5625,1.6684027773472223,0.7511111108222223,16.0,20.25,2.25,16.0,30.25,30.25,9.0,6.25
"2,4",0.25,0.25,0.9999999999999998,8.75173610913889,3.24,12.25,2.25,0.25,49.0,0.0,56.25,4.0,64.0
"1,2",5.1875,6.5,0.9357638889444444,1.0225694445972224,1.4541666668916666,337.25,19.25,5.1875,30.5,64.1875,42.5,96.75,42.1875
"4,7",0.22222222222222224,2.0,0.4506172838641976,6.726851853092593,2.193580247175308,0.6666666666666666,450.6666666666667,29.555555555555557,43.55555555555555,68.22222222222223,80.66666666666667,36.22222222222222,66.8888888888889
"1,7",0.25,0.25,0.44444444488888873,2.1267361115972223,0.5877777775222225,16.0,4.0,1.0,25.0,306.25,20.25,2.25,30.25
"3,7",10.666666666666666,12.666666666666666,0.02469135797530866,6.680555555555556,4.806913579575308,9.555555555555557,34.666666666666664,0.22222222222222224,98.0,28.666666666666668,46.22222222222223,174.22222222222226,38.22222222222222
"1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
